"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","test_weather_api_returns_correct_city_name[Podgorica]","tests","Tue Mar 04 12:48:49 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","8539","test_different_weather_pop_up[chromium]","tests","Tue Mar 04 12:49:03 GMT 2025","passed","Tue Mar 04 12:49:12 GMT 2025","","test_different_weather","",""
"","14715","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Tue Mar 04 12:49:12 GMT 2025","passed","Tue Mar 04 12:49:27 GMT 2025","","test_different_weather","",""
"","82","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","11706","test_units_toggle_button[chromium]","tests","Tue Mar 04 12:50:58 GMT 2025","passed","Tue Mar 04 12:51:10 GMT 2025","","test_switch_units","",""
"","154","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","154","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","76","test_weather_api_returns_correct_city_name[Berlin]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","155","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","78","test_weather_api_returns_correct_city_name[London]","tests","Tue Mar 04 12:48:49 GMT 2025","passed","Tue Mar 04 12:48:49 GMT 2025","","test_api","",""
"","11758","test_units_convertion[chromium]","tests","Tue Mar 04 12:51:10 GMT 2025","passed","Tue Mar 04 12:51:22 GMT 2025","","test_switch_units","",""
"","5580","test_get_location[chromium]","tests","Tue Mar 04 12:50:43 GMT 2025","passed","Tue Mar 04 12:50:49 GMT 2025","","test_geolocation","",""
"","5594","test_search_city_field_is_available[chromium]","tests","Tue Mar 04 12:50:22 GMT 2025","passed","Tue Mar 04 12:50:28 GMT 2025","","test_find_location","",""
"","14705","test_right_location_is_displayed_after_searching[chromium]","tests","Tue Mar 04 12:50:28 GMT 2025","passed","Tue Mar 04 12:50:43 GMT 2025","","test_find_location","",""
"","54508","test_each_day_of_eight_day_forecast[chromium]","tests","Tue Mar 04 12:49:27 GMT 2025","passed","Tue Mar 04 12:50:22 GMT 2025","","test_eight_day_forecast","",""
"","76","test_get_weather_by_zip_code_without_api_key","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","11273","test_date_and_time[chromium]","tests","Tue Mar 04 12:48:51 GMT 2025","failed","Tue Mar 04 12:49:02 GMT 2025","","test_date_and_time","",""
"","151","test_weather_api_returns_correct_city_by_id[London]","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
"","8595","test_map_is_movable[chromium]","tests","Tue Mar 04 12:50:49 GMT 2025","passed","Tue Mar 04 12:50:58 GMT 2025","","test_map","",""
"","75","test_get_weather_by_city_name_without_api_key","tests","Tue Mar 04 12:48:50 GMT 2025","passed","Tue Mar 04 12:48:50 GMT 2025","","test_api","",""
