"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6562","test_date_and_time[chromium]","tests","Fri Feb 21 11:03:39 GMT 2025","passed","Fri Feb 21 11:03:46 GMT 2025","","test_date_and_time","",""
"","91","test_weather_api_returns_correct_city_name[Podgorica]","tests","Fri Feb 21 11:03:36 GMT 2025","passed","Fri Feb 21 11:03:36 GMT 2025","","test_api","",""
"","171","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","6589","test_search_city_field_is_available[chromium]","tests","Fri Feb 21 11:05:09 GMT 2025","passed","Fri Feb 21 11:05:15 GMT 2025","","test_find_location","",""
"","15548","test_right_location_is_displayed_after_searching[chromium]","tests","Fri Feb 21 11:05:15 GMT 2025","passed","Fri Feb 21 11:05:31 GMT 2025","","test_find_location","",""
"","6631","test_get_location[chromium]","tests","Fri Feb 21 11:05:31 GMT 2025","passed","Fri Feb 21 11:05:38 GMT 2025","","test_geolocation","",""
"","88","test_weather_api_returns_correct_city_name[Berlin]","tests","Fri Feb 21 11:03:36 GMT 2025","passed","Fri Feb 21 11:03:36 GMT 2025","","test_api","",""
"","84","test_get_weather_by_city_name_without_api_key","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","166","test_weather_api_returns_correct_city_by_id[London]","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","176","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","10077","test_different_weather_pop_up[chromium]","tests","Fri Feb 21 11:03:46 GMT 2025","passed","Fri Feb 21 11:03:56 GMT 2025","","test_different_weather","",""
"","55569","test_each_day_of_eight_day_forecast[chromium]","tests","Fri Feb 21 11:04:13 GMT 2025","passed","Fri Feb 21 11:05:08 GMT 2025","","test_eight_day_forecast","",""
"","192","test_weather_api_returns_correct_city_name[London]","tests","Fri Feb 21 11:03:36 GMT 2025","passed","Fri Feb 21 11:03:36 GMT 2025","","test_api","",""
"","83","test_get_weather_by_zip_code_without_api_key","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","90","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Fri Feb 21 11:03:36 GMT 2025","passed","Fri Feb 21 11:03:36 GMT 2025","","test_api","",""
"","15808","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Fri Feb 21 11:03:56 GMT 2025","passed","Fri Feb 21 11:04:12 GMT 2025","","test_different_weather","",""
"","12540","test_units_toggle_button[chromium]","tests","Fri Feb 21 11:05:49 GMT 2025","passed","Fri Feb 21 11:06:01 GMT 2025","","test_switch_units","",""
"","177","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Fri Feb 21 11:03:37 GMT 2025","passed","Fri Feb 21 11:03:37 GMT 2025","","test_api","",""
"","13119","test_units_convertion[chromium]","tests","Fri Feb 21 11:06:01 GMT 2025","passed","Fri Feb 21 11:06:15 GMT 2025","","test_switch_units","",""
"","9584","test_map_is_movable[chromium]","tests","Fri Feb 21 11:05:38 GMT 2025","passed","Fri Feb 21 11:05:48 GMT 2025","","test_map","",""
