"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11202","test_units_convertion[chromium]","tests","Fri Feb 21 10:57:03 GMT 2025","passed","Fri Feb 21 10:57:14 GMT 2025","","test_switch_units","",""
"","81","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Fri Feb 21 10:54:45 GMT 2025","passed","Fri Feb 21 10:54:45 GMT 2025","","test_api","",""
"","14299","test_right_location_is_displayed_after_searching[chromium]","tests","Fri Feb 21 10:56:17 GMT 2025","passed","Fri Feb 21 10:56:31 GMT 2025","","test_find_location","",""
"","11180","test_units_toggle_button[chromium]","tests","Fri Feb 21 10:56:52 GMT 2025","passed","Fri Feb 21 10:57:03 GMT 2025","","test_switch_units","",""
"","40","test_weather_api_returns_correct_city_name[Podgorica]","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
"","54132","test_each_day_of_eight_day_forecast[chromium]","tests","Fri Feb 21 10:55:17 GMT 2025","passed","Fri Feb 21 10:56:11 GMT 2025","","test_eight_day_forecast","",""
"","8391","test_different_weather_pop_up[chromium]","tests","Fri Feb 21 10:54:53 GMT 2025","passed","Fri Feb 21 10:55:01 GMT 2025","","test_different_weather","",""
"","40","test_get_weather_by_city_name_without_api_key","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
"","15132","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Fri Feb 21 10:55:02 GMT 2025","passed","Fri Feb 21 10:55:17 GMT 2025","","test_different_weather","",""
"","45","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
"","10211","test_get_location[chromium]","tests","Fri Feb 21 10:56:32 GMT 2025","failed","Fri Feb 21 10:56:42 GMT 2025","","test_geolocation","",""
"","80","test_weather_api_returns_correct_city_by_id[London]","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:45 GMT 2025","","test_api","",""
"","83","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Fri Feb 21 10:54:45 GMT 2025","passed","Fri Feb 21 10:54:45 GMT 2025","","test_api","",""
"","80","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Fri Feb 21 10:54:45 GMT 2025","passed","Fri Feb 21 10:54:45 GMT 2025","","test_api","",""
"","8397","test_map_is_movable[chromium]","tests","Fri Feb 21 10:56:43 GMT 2025","passed","Fri Feb 21 10:56:51 GMT 2025","","test_map","",""
"","42","test_weather_api_returns_correct_city_name[Berlin]","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
"","5342","test_date_and_time[chromium]","tests","Fri Feb 21 10:54:47 GMT 2025","passed","Fri Feb 21 10:54:52 GMT 2025","","test_date_and_time","",""
"","5192","test_search_city_field_is_available[chromium]","tests","Fri Feb 21 10:56:12 GMT 2025","passed","Fri Feb 21 10:56:17 GMT 2025","","test_find_location","",""
"","218","test_weather_api_returns_correct_city_name[London]","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
"","39","test_get_weather_by_zip_code_without_api_key","tests","Fri Feb 21 10:54:44 GMT 2025","passed","Fri Feb 21 10:54:44 GMT 2025","","test_api","",""
