"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11903","test_units_convertion[chromium]","tests","Tue Feb 04 19:16:43 GMT 2025","passed","Tue Feb 04 19:16:55 GMT 2025","","test_switch_units","",""
"","8734","test_map_is_movable[chromium]","tests","Tue Feb 04 19:16:21 GMT 2025","passed","Tue Feb 04 19:16:30 GMT 2025","","test_map","",""
"","8554","test_different_weather_pop_up[chromium]","tests","Tue Feb 04 19:14:40 GMT 2025","passed","Tue Feb 04 19:14:49 GMT 2025","","test_different_weather","",""
"","14693","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Tue Feb 04 19:14:49 GMT 2025","passed","Tue Feb 04 19:15:04 GMT 2025","","test_different_weather","",""
"","14423","test_right_location_is_displayed_after_searching[chromium]","tests","Tue Feb 04 19:16:06 GMT 2025","passed","Tue Feb 04 19:16:21 GMT 2025","","test_find_location","",""
"","5320","test_search_city_field_is_available[chromium]","tests","Tue Feb 04 19:16:01 GMT 2025","passed","Tue Feb 04 19:16:06 GMT 2025","","test_find_location","",""
"","11750","test_units_toggle_button[chromium]","tests","Tue Feb 04 19:16:31 GMT 2025","passed","Tue Feb 04 19:16:43 GMT 2025","","test_switch_units","",""
"","55395","test_each_day_of_eight_day_forecast[chromium]","tests","Tue Feb 04 19:15:05 GMT 2025","passed","Tue Feb 04 19:16:00 GMT 2025","","test_eight_day_forecast","",""
