"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55382","test_each_day_of_eight_day_forecast[chromium]","tests","Tue Feb 11 04:49:53 GMT 2025","passed","Tue Feb 11 04:50:48 GMT 2025","","test_eight_day_forecast","",""
"","5557","test_date_and_time[chromium]","tests","Tue Feb 11 04:49:22 GMT 2025","passed","Tue Feb 11 04:49:28 GMT 2025","","test_date_and_time","",""
"","14481","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Tue Feb 11 04:49:38 GMT 2025","passed","Tue Feb 11 04:49:52 GMT 2025","","test_different_weather","",""
"","5357","test_search_city_field_is_available[chromium]","tests","Tue Feb 11 04:50:48 GMT 2025","passed","Tue Feb 11 04:50:54 GMT 2025","","test_find_location","",""
"","12118","test_units_convertion[chromium]","tests","Tue Feb 11 04:51:31 GMT 2025","passed","Tue Feb 11 04:51:43 GMT 2025","","test_switch_units","",""
"","8569","test_map_is_movable[chromium]","tests","Tue Feb 11 04:51:09 GMT 2025","passed","Tue Feb 11 04:51:18 GMT 2025","","test_map","",""
"","8493","test_different_weather_pop_up[chromium]","tests","Tue Feb 11 04:49:28 GMT 2025","passed","Tue Feb 11 04:49:37 GMT 2025","","test_different_weather","",""
"","14553","test_right_location_is_displayed_after_searching[chromium]","tests","Tue Feb 11 04:50:54 GMT 2025","passed","Tue Feb 11 04:51:09 GMT 2025","","test_find_location","",""
"","11828","test_units_toggle_button[chromium]","tests","Tue Feb 11 04:51:19 GMT 2025","passed","Tue Feb 11 04:51:30 GMT 2025","","test_switch_units","",""
