"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8254","test_different_weather_pop_up[chromium]","tests","Tue Feb 18 11:46:00 GMT 2025","passed","Tue Feb 18 11:46:08 GMT 2025","","test_different_weather","",""
"","8229","test_map_is_movable[chromium]","tests","Tue Feb 18 11:47:37 GMT 2025","passed","Tue Feb 18 11:47:46 GMT 2025","","test_map","",""
"","14295","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Tue Feb 18 11:46:08 GMT 2025","passed","Tue Feb 18 11:46:23 GMT 2025","","test_different_weather","",""
"","14252","test_right_location_is_displayed_after_searching[chromium]","tests","Tue Feb 18 11:47:23 GMT 2025","passed","Tue Feb 18 11:47:37 GMT 2025","","test_find_location","",""
"","11300","test_units_convertion[chromium]","tests","Tue Feb 18 11:47:58 GMT 2025","passed","Tue Feb 18 11:48:09 GMT 2025","","test_switch_units","",""
"","5829","test_date_and_time[chromium]","tests","Tue Feb 18 11:45:53 GMT 2025","passed","Tue Feb 18 11:45:59 GMT 2025","","test_date_and_time","",""
"","40","test_get_weather_by_zip_code_without_api_key","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","11280","test_units_toggle_button[chromium]","tests","Tue Feb 18 11:47:46 GMT 2025","passed","Tue Feb 18 11:47:57 GMT 2025","","test_switch_units","",""
"","53","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","5109","test_search_city_field_is_available[chromium]","tests","Tue Feb 18 11:47:17 GMT 2025","passed","Tue Feb 18 11:47:22 GMT 2025","","test_find_location","",""
"","220","test_weather_api_returns_correct_city_name[London]","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","40","test_get_weather_by_city_name_without_api_key","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","41","test_weather_api_returns_correct_city_name[Berlin]","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","48","test_weather_api_returns_correct_city_name[Podgorica]","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","118","test_get_weather_by_city_id","tests","Tue Feb 18 11:45:52 GMT 2025","passed","Tue Feb 18 11:45:52 GMT 2025","","test_api","",""
"","54101","test_each_day_of_eight_day_forecast[chromium]","tests","Tue Feb 18 11:46:23 GMT 2025","passed","Tue Feb 18 11:47:17 GMT 2025","","test_eight_day_forecast","",""
