"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12103","test_units_toggle_button[chromium]","tests","Wed Mar 05 06:55:57 GMT 2025","passed","Wed Mar 05 06:56:10 GMT 2025","","test_switch_units","",""
"","5973","test_search_city_field_is_available[chromium]","tests","Wed Mar 05 06:55:14 GMT 2025","passed","Wed Mar 05 06:55:20 GMT 2025","","test_find_location","",""
"","238","test_weather_api_returns_correct_city_by_id[London]","tests","Wed Mar 05 06:53:44 GMT 2025","passed","Wed Mar 05 06:53:44 GMT 2025","","test_api","",""
"","117","test_weather_api_returns_correct_city_name[Berlin]","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:43 GMT 2025","","test_api","",""
"","113","test_get_weather_by_zip_code_without_api_key","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:44 GMT 2025","","test_api","",""
"","5970","test_get_location[chromium]","tests","Wed Mar 05 06:55:41 GMT 2025","passed","Wed Mar 05 06:55:47 GMT 2025","","test_geolocation","",""
"","113","test_get_weather_by_city_name_without_api_key","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:43 GMT 2025","","test_api","",""
"","255","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Wed Mar 05 06:53:44 GMT 2025","passed","Wed Mar 05 06:53:44 GMT 2025","","test_api","",""
"","9226","test_map_is_movable[chromium]","tests","Wed Mar 05 06:55:48 GMT 2025","passed","Wed Mar 05 06:55:57 GMT 2025","","test_map","",""
"","321","test_weather_api_returns_correct_city_name[London]","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:43 GMT 2025","","test_api","",""
"","236","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Wed Mar 05 06:53:44 GMT 2025","passed","Wed Mar 05 06:53:44 GMT 2025","","test_api","",""
"","6811","test_date_and_time[chromium]","tests","Wed Mar 05 06:53:47 GMT 2025","passed","Wed Mar 05 06:53:54 GMT 2025","","test_date_and_time","",""
"","54964","test_each_day_of_eight_day_forecast[chromium]","tests","Wed Mar 05 06:54:19 GMT 2025","passed","Wed Mar 05 06:55:14 GMT 2025","","test_eight_day_forecast","",""
"","20034","test_right_location_is_displayed_after_searching[chromium]","tests","Wed Mar 05 06:55:21 GMT 2025","failed","Wed Mar 05 06:55:41 GMT 2025","","test_find_location","",""
"","9027","test_different_weather_pop_up[chromium]","tests","Wed Mar 05 06:53:54 GMT 2025","passed","Wed Mar 05 06:54:03 GMT 2025","","test_different_weather","",""
"","121","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:43 GMT 2025","","test_api","",""
"","12245","test_units_convertion[chromium]","tests","Wed Mar 05 06:56:10 GMT 2025","passed","Wed Mar 05 06:56:22 GMT 2025","","test_switch_units","",""
"","253","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Wed Mar 05 06:53:44 GMT 2025","passed","Wed Mar 05 06:53:45 GMT 2025","","test_api","",""
"","140","test_weather_api_returns_correct_city_name[Podgorica]","tests","Wed Mar 05 06:53:43 GMT 2025","passed","Wed Mar 05 06:53:43 GMT 2025","","test_api","",""
"","15292","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Wed Mar 05 06:54:03 GMT 2025","passed","Wed Mar 05 06:54:19 GMT 2025","","test_different_weather","",""
