"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:08 GMT 2025","","test_api","",""
"","8605","test_different_weather_pop_up[chromium]","tests","Wed Feb 19 17:56:18 GMT 2025","passed","Wed Feb 19 17:56:27 GMT 2025","","test_different_weather","",""
"","82","test_weather_api_returns_correct_city_name[Podgorica]","tests","Wed Feb 19 17:56:06 GMT 2025","passed","Wed Feb 19 17:56:06 GMT 2025","","test_api","",""
"","54463","test_each_day_of_eight_day_forecast[chromium]","tests","Wed Feb 19 17:56:43 GMT 2025","passed","Wed Feb 19 17:57:37 GMT 2025","","test_eight_day_forecast","",""
"","5595","test_search_city_field_is_available[chromium]","tests","Wed Feb 19 17:57:37 GMT 2025","passed","Wed Feb 19 17:57:43 GMT 2025","","test_find_location","",""
"","11584","test_units_convertion[chromium]","tests","Wed Feb 19 17:58:20 GMT 2025","passed","Wed Feb 19 17:58:31 GMT 2025","","test_switch_units","",""
"","291","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Wed Feb 19 17:56:06 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
"","81","test_weather_api_returns_correct_city_name[London]","tests","Wed Feb 19 17:56:06 GMT 2025","passed","Wed Feb 19 17:56:06 GMT 2025","","test_api","",""
"","8924","test_date_and_time[chromium]","tests","Wed Feb 19 17:56:09 GMT 2025","passed","Wed Feb 19 17:56:18 GMT 2025","","test_date_and_time","",""
"","14724","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Wed Feb 19 17:56:27 GMT 2025","passed","Wed Feb 19 17:56:42 GMT 2025","","test_different_weather","",""
"","11667","test_units_toggle_button[chromium]","tests","Wed Feb 19 17:58:07 GMT 2025","passed","Wed Feb 19 17:58:19 GMT 2025","","test_switch_units","",""
"","156","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
"","14703","test_right_location_is_displayed_after_searching[chromium]","tests","Wed Feb 19 17:57:43 GMT 2025","passed","Wed Feb 19 17:57:58 GMT 2025","","test_find_location","",""
"","160","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
"","75","test_weather_api_returns_correct_city_name[Berlin]","tests","Wed Feb 19 17:56:06 GMT 2025","passed","Wed Feb 19 17:56:06 GMT 2025","","test_api","",""
"","8750","test_map_is_movable[chromium]","tests","Wed Feb 19 17:57:58 GMT 2025","passed","Wed Feb 19 17:58:07 GMT 2025","","test_map","",""
"","360","test_weather_api_returns_correct_city_by_id[London]","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
"","76","test_get_weather_by_zip_code_without_api_key","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
"","76","test_get_weather_by_city_name_without_api_key","tests","Wed Feb 19 17:56:07 GMT 2025","passed","Wed Feb 19 17:56:07 GMT 2025","","test_api","",""
