"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8194","test_map_is_movable[chromium]","tests","Fri Feb 14 12:23:21 GMT 2025","passed","Fri Feb 14 12:23:29 GMT 2025","","test_map","",""
"","54050","test_each_day_of_eight_day_forecast[chromium]","tests","Fri Feb 14 12:22:01 GMT 2025","passed","Fri Feb 14 12:22:55 GMT 2025","","test_eight_day_forecast","",""
"","41","test_weather_api_returns_correct_city_name[Berlin]","tests","Fri Feb 14 12:21:30 GMT 2025","passed","Fri Feb 14 12:21:30 GMT 2025","","test_api","",""
"","6177","test_date_and_time[chromium]","tests","Fri Feb 14 12:21:31 GMT 2025","passed","Fri Feb 14 12:21:37 GMT 2025","","test_date_and_time","",""
"","14232","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Fri Feb 14 12:21:47 GMT 2025","passed","Fri Feb 14 12:22:01 GMT 2025","","test_different_weather","",""
"","11182","test_units_toggle_button[chromium]","tests","Fri Feb 14 12:23:30 GMT 2025","passed","Fri Feb 14 12:23:41 GMT 2025","","test_switch_units","",""
"","19326","test_right_location_is_displayed_after_searching[chromium]","tests","Fri Feb 14 12:23:01 GMT 2025","failed","Fri Feb 14 12:23:20 GMT 2025","","test_find_location","",""
"","49","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Fri Feb 14 12:21:30 GMT 2025","passed","Fri Feb 14 12:21:30 GMT 2025","","test_api","",""
"","38","test_api_key_is_required","tests","Fri Feb 14 12:21:30 GMT 2025","passed","Fri Feb 14 12:21:30 GMT 2025","","test_api","",""
"","46","test_weather_api_returns_correct_city_name[Podgorica]","tests","Fri Feb 14 12:21:30 GMT 2025","passed","Fri Feb 14 12:21:30 GMT 2025","","test_api","",""
"","5178","test_search_city_field_is_available[chromium]","tests","Fri Feb 14 12:22:56 GMT 2025","passed","Fri Feb 14 12:23:01 GMT 2025","","test_find_location","",""
"","8262","test_different_weather_pop_up[chromium]","tests","Fri Feb 14 12:21:38 GMT 2025","passed","Fri Feb 14 12:21:46 GMT 2025","","test_different_weather","",""
"","163","test_weather_api_returns_correct_city_name[London]","tests","Fri Feb 14 12:21:30 GMT 2025","passed","Fri Feb 14 12:21:30 GMT 2025","","test_api","",""
"","11260","test_units_convertion[chromium]","tests","Fri Feb 14 12:23:41 GMT 2025","passed","Fri Feb 14 12:23:52 GMT 2025","","test_switch_units","",""
