"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15670","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Fri Feb 14 11:38:51 GMT 2025","passed","Fri Feb 14 11:39:07 GMT 2025","","test_different_weather","",""
"","15669","test_right_location_is_displayed_after_searching[chromium]","tests","Fri Feb 14 11:40:11 GMT 2025","passed","Fri Feb 14 11:40:27 GMT 2025","","test_find_location","",""
"","12669","test_units_toggle_button[chromium]","tests","Fri Feb 14 11:40:37 GMT 2025","passed","Fri Feb 14 11:40:50 GMT 2025","","test_switch_units","",""
"","9581","test_different_weather_pop_up[chromium]","tests","Fri Feb 14 11:38:41 GMT 2025","passed","Fri Feb 14 11:38:51 GMT 2025","","test_different_weather","",""
"","9712","test_map_is_movable[chromium]","tests","Fri Feb 14 11:40:27 GMT 2025","passed","Fri Feb 14 11:40:37 GMT 2025","","test_map","",""
"","55680","test_each_day_of_eight_day_forecast[chromium]","tests","Fri Feb 14 11:39:07 GMT 2025","passed","Fri Feb 14 11:40:03 GMT 2025","","test_eight_day_forecast","",""
"","7566","test_search_city_field_is_available[chromium]","tests","Fri Feb 14 11:40:03 GMT 2025","passed","Fri Feb 14 11:40:11 GMT 2025","","test_find_location","",""
"","6676","test_date_and_time[chromium]","tests","Fri Feb 14 11:38:34 GMT 2025","passed","Fri Feb 14 11:38:41 GMT 2025","","test_date_and_time","",""
"","12883","test_units_convertion[chromium]","tests","Fri Feb 14 11:40:50 GMT 2025","passed","Fri Feb 14 11:41:03 GMT 2025","","test_switch_units","",""
