"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54117","test_each_day_of_eight_day_forecast[chromium]","tests","Wed Feb 26 09:22:29 GMT 2025","passed","Wed Feb 26 09:23:23 GMT 2025","","test_eight_day_forecast","",""
"","11179","test_units_convertion[chromium]","tests","Wed Feb 26 09:24:15 GMT 2025","passed","Wed Feb 26 09:24:26 GMT 2025","","test_switch_units","",""
"","57","test_weather_api_returns_correct_city_by_id[London]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","5169","test_search_city_field_is_available[chromium]","tests","Wed Feb 26 09:23:24 GMT 2025","passed","Wed Feb 26 09:23:29 GMT 2025","","test_find_location","",""
"","11382","test_units_toggle_button[chromium]","tests","Wed Feb 26 09:24:03 GMT 2025","passed","Wed Feb 26 09:24:15 GMT 2025","","test_switch_units","",""
"","29","test_weather_api_returns_correct_city_name[Berlin]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","33","test_weather_api_returns_correct_city_name[Podgorica]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","56","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Wed Feb 26 09:22:00 GMT 2025","passed","Wed Feb 26 09:22:00 GMT 2025","","test_api","",""
"","8139","test_different_weather_pop_up[chromium]","tests","Wed Feb 26 09:22:06 GMT 2025","passed","Wed Feb 26 09:22:14 GMT 2025","","test_different_weather","",""
"","19169","test_right_location_is_displayed_after_searching[chromium]","tests","Wed Feb 26 09:23:29 GMT 2025","failed","Wed Feb 26 09:23:48 GMT 2025","","test_find_location","",""
"","14317","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Wed Feb 26 09:22:15 GMT 2025","passed","Wed Feb 26 09:22:29 GMT 2025","","test_different_weather","",""
"","27","test_get_weather_by_city_name_without_api_key","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","248","test_weather_api_returns_correct_city_name[London]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","46","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","8272","test_map_is_movable[chromium]","tests","Wed Feb 26 09:23:54 GMT 2025","passed","Wed Feb 26 09:24:03 GMT 2025","","test_map","",""
"","5397","test_date_and_time[chromium]","tests","Wed Feb 26 09:22:00 GMT 2025","passed","Wed Feb 26 09:22:06 GMT 2025","","test_date_and_time","",""
"","62","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:22:00 GMT 2025","","test_api","",""
"","27","test_get_weather_by_zip_code_without_api_key","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
"","5095","test_get_location[chromium]","tests","Wed Feb 26 09:23:49 GMT 2025","passed","Wed Feb 26 09:23:54 GMT 2025","","test_geolocation","",""
"","66","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Wed Feb 26 09:21:59 GMT 2025","passed","Wed Feb 26 09:21:59 GMT 2025","","test_api","",""
